week;term;definition_b1;collocation_1;collocation_2;ua;source_sentence;added_at
w01;collaborate;work with another person or tool to reach a shared goal;collaborate closely;collaborate with AI;співпрацювати;Instead, it's mostly about you and I, us humans, and how we interact and collaborate with AI systems.;2026-09-09
w01;confidently;in a way that shows you feel sure about what you are doing;speak confidently;act confidently;впевнено;And it's about approaching these possibilities confidently and capably.;2026-09-09
w01;outdated;old and no longer useful because things have changed;become outdated;outdated advice;застарілий;You'll learn plenty of practical skills, but it isn't just another collection of technical definitions or prompting tips that may be outdated next month.;2026-09-09
w01;evaluate;judge the quality, value, or safety of something;evaluate results;evaluate carefully;оцінювати;"In brief, these are delegation, which asks, “When should humans do work, and when should AI?”; description, which asks, “How do we communicate clearly with AI systems?”; discernment, which asks, “How do we evaluate what AI gives us?”; and diligence, which asks, “How do we ensure our interaction with AI is responsible, transparent, and accountable?”";2026-09-09
w01;accountable;responsible for a decision and ready to explain it;remain accountable;hold someone accountable;відповідальний;"In brief, these are delegation, which asks, “When should humans do work, and when should AI?”; description, which asks, “How do we communicate clearly with AI systems?”; discernment, which asks, “How do we evaluate what AI gives us?”; and diligence, which asks, “How do we ensure our interaction with AI is responsible, transparent, and accountable?”";2026-09-09
w01;delegation;deciding which work another person or tool should do;task delegation;effective delegation;делегування;"In brief, these are delegation, which asks, “When should humans do work, and when should AI?”; description, which asks, “How do we communicate clearly with AI systems?”; discernment, which asks, “How do we evaluate what AI gives us?”; and diligence, which asks, “How do we ensure our interaction with AI is responsible, transparent, and accountable?”";2026-09-09
w01;discernment;careful judgment about what is good, true, or useful;exercise discernment;use discernment;"проникливість; критичне мислення; розрізнення";"In brief, these are delegation, which asks, “When should humans do work, and when should AI?”; description, which asks, “How do we communicate clearly with AI systems?”; discernment, which asks, “How do we evaluate what AI gives us?”; and diligence, which asks, “How do we ensure our interaction with AI is responsible, transparent, and accountable?”";2026-09-09
w01;diligence;careful work that checks details and avoids careless mistakes;show diligence;due diligence;"старанність; ретельність";"In brief, these are delegation, which asks, “When should humans do work, and when should AI?”; description, which asks, “How do we communicate clearly with AI systems?”; discernment, which asks, “How do we evaluate what AI gives us?”; and diligence, which asks, “How do we ensure our interaction with AI is responsible, transparent, and accountable?”";2026-09-09
w01;grounding;basic knowledge that gives you a strong starting point;solid grounding;basic grounding;"базова основа; фундаментальні знання";Let's face it, the AI world moves extremely quickly, and it's very hard to know where to start or how to keep up unless you have a grounding, fundamental framework to guide you and get you past that next prompt-engineering fad.;2026-09-09
w02;AI fluency;The ability to work with artificial intelligence effectively, safely, and responsibly.;develop AI fluency;AI fluency framework;вільне володіння ШІ / ШІ-грамотність;AI fluency isn't just about being a technical expert or memorizing the 10 best prompts for whatever trending task is popular this month.;2026-09-09
w02;automation;Using technology to complete a defined task with little human involvement.;workflow automation;use automation;автоматизація;The first way we interact with AI is through automation, where an AI assistant completes a specific task based on your instructions.;2026-09-09
w02;augmentation;Working with technology as a partner to improve your own thinking or work.;human augmentation;use augmentation;розширення людських можливостей;The second approach is augmentation, where you and the AI assistant collaborate and complete a task together.;2026-09-09
w02;agency;A way for technology to act independently toward a goal you set.;AI agency;greater agency;автономність / агентність (самостійна діяльність);The third mode is agency, where AI works independently on your behalf.;2026-09-09
w02;versatile;Able to do many different kinds of work well.;versatile tool;versatile assistant;"універсальний; різнобічний";Many of us now have versatile assistants and virtual collaborators at our fingertips that can help with writing, brainstorming, researching, decision-making, and much more.;2026-09-09
w02;responsibly;In a careful way that considers risks, rules, and other people.;act responsibly;use responsibly;відповідально;Having these powerful systems doesn't automatically mean we know how to make the most of them or to engage with them responsibly.;2026-09-09
w02;highlight;To make an important point easier to notice.;highlight a difference;highlight a risk;"виділяти; підкреслювати";All of these moments highlight the gaps between simply having access to AI and truly being fluent with it.;2026-09-09
w02;reinforce;To make an idea, skill, or effect stronger.;reinforce learning;reinforce a habit;"посилювати; зміцнювати";It's about developing a collection of practical skills, knowledge, insights, and values that reinforce each other and adapt as the technology changes.;2026-09-09
w02;straightforward;Simple, clear, and not difficult to understand or complete.;straightforward task;straightforward solution;"простий; однозначний; прямолінійний";This approach works best when solutions aren't straightforward and you need space to explore and experiment.;2026-09-09
w03;competency;an important skill or ability needed to do a task well;core competency;key competency;"компетентність; ключова навичка";Now that we've explored what AI fluency means and the different ways we interact with AI, let's dive into the core competencies that help us navigate AI collaboration effectively, efficiently, ethically, and safely.;2026-09-09
w03;navigate;to deal successfully with a difficult situation or complex process;navigate collaboration;navigate change;"орієнтуватися; успішно проходити крізь";Now that we've explored what AI fluency means and the different ways we interact with AI, let's dive into the core competencies that help us navigate AI collaboration effectively, efficiently, ethically, and safely.;2026-09-09
w03;offload;to give a task or responsibility to someone else to reduce your work;offload tasks;offload work;"перекладати завдання (на когось/щось); скидати навантаження";Delegation isn't just about offloading tasks.;2026-09-09
